questions,responses
What is the first spaceship in the world to sample the moon's crust?,Surveyor III USA is the first spaceship in the world to sample the moon's crust.
What is the first space vehicle to soft land on the moon?,Luna 9 USSR is the first space vehicle to soft land on the moon.
What is the first manned spaceship to perform the longest stay in space 11 days?,Apollo CAM USA is the first manned spaceship to perform the longest stay in space 11 days.
What is the first manned spaceship to perform space flight round the moon?,Apollo 8 USA is the first manned spaceship to perform space flight round the moon.
What is the first American manned spaceship to perform crew transfer in space?,Apollo 9 USA is the first American manned spaceship to perform crew transfer in space.
Who is the first woman of Indian origin in space?,Kalpana Chawla was the first woman of Indian origin in space.
Who are the first residents on the ISS?,Bill Shepherd USA Yuri Gidzenko and Sergei Krikalev Russia are the first residents on the ISS.
Who is the first space tourist in the world?,Dennis Tito USA was the first space tourist in the world.
Who is The first European woman to the ISS?,"Claudie Haignere French cosmonaut, was the first European woman to fly to the ISS."
What is the first space tourist of S Africa and second of the world?,MK Shuttleworth April 2002 is the first space tourist of S Africa and second of the world.
What is the first US space shuttle to explode while returning home killing all the astronauts?,"Columbia February 1 2003 is the first US space shuttle to explode while returning home, killing all the astronauts."
Who is China's first man in space?,Yang Liwei is China's first man in space.
What is ESA's first moon probe craft?,SMART I was ESA's first moon probe craft.
What is America's first Mission to Saturn?,Cassini Spacecraft Reached Saturn's orbit in July 2004 is America's first Mission to Saturn.
What is the First private manned spacecraft?,Spaceship One Launched on June 21 2004 was the First private manned spacecraft.
What is the First European space probe landing on the surface of the Saturnian Moon Titan?,Huygens January 15 2005 is First European space probe landing on the surface of the Saturnian Moon Titan.
What is India's first Mapping Satellite?,CARTOSAT I Launched on May 5 2005 is India's first Mapping Satellite.
What is the first spacecraft to touch the surface of a comet?,NASAs Deep Impact hit its comet target temple I July 4 2005 is the first spacecraft to touch the surface of a comet.
What is the first Japanese spacecraft to get down to an asteroid and collect samples from there?,Hayabusa November 2005 Japanese Aerospace Exploration Agency JAXA is the first Japanese spacecraft to get down to an asteroid and collect samples from there.
What is the first Probe Mission to planet Pluto?,New Horizons US launched on January 19 2006 is The first Probe Mission to planet Pluto.
Who is the first space woman to stay for the longest ever Perivale of time in space?,Sunita Williams was the first space woman to stay for the longest ever Perivale of time in space.
What is a computer?,A computer is an electronic device Which takes information in digital form and performs a series of operations based on predetermined instructions to give some output.
What is a super computer?,Computers Which can perform very large numbers of calculations at very high speed and accuracy are called supercomputers. A supercomputer is a computer Which operates at several orders of magnitude greater speed and capacity than everyday general purpose computers like the one you are talking to me on.
Who invented computers?,It's a bit ambiguous but British scientist Charles Babbage is regarded as the father of computers.
What was the first computer?,It's hard to say but The ENIAC is regarded as the first real computer It was developed at University of Pennsylvania.
What is a microprocessor?,"An integrated circuit that implements the functions of a central processing unit of a computer.A really small circuit Which stores instructions and performs calculations for the computer,"
What is an operating system?,"Software that coordinates between the hardware and other parts of the computer to run other software is called an operating system or the OS,Windows MacOS Linux UNIX all of them are types of Oses."
Who was the first President of India?,Rajendra Prasad is the first President of India.
What was the name of the first artificial Earth satellite?,Sputnik 1 was the name of the first artificial Earth satellite.
What is the name of the nearest major galaxy to the Milky Way?,The name of the nearest major galaxy to the Milky Way is The Andromeda Galaxy.
What is the national anthem of India?,Jana gana Mana is the national anthem of india.
How many satellites were launched in PSLV C37?,Till now 104 satellites were launched in PSLV C37.
ISRO was established in Which year?,ISRO was established on 15 August 1969.
What is the full form of ISRO?,ISRO is the full form of isro.
Who is the first chairman of ISRO?,Vikram Sarabhai was the first chairman of isro.
Where is the headquarters of ISRO?,The headquarters of ISRO is located at bangalore.
Which was the first satellite launched by ISRO?,Kalpana 1 was the first satellite launched by ISRO.
ISRO will launch India's second mission to the moon called?,Chandrayaan II WAS launched by ISRO for India's second mission to the moon.
What is the full form of GSLV?,GSLV is the full form of gslv.
How many stages are there in GSLV?,three stages are there in GSLV.
What is the full form of PSLV?,The full form of PSLV is the PSLV.
Which is the latest PSLV launched by India?,PSLV C42 IS the latest PSLV launched by India.
When was PSLVC37 has launched ?,2016. The PSLV C37 mission launched on September 26 2016 was the first time that the rocket had inserted multiple payloads into two separate orbit altitudes.
How many stages are there in PSLV?,four stages are there in PSLV.
What is the full form of ASLV?,ASLV is the full form of ASLV.
In Which place is VSSC located?,Thiruvananthapuram is the place where Dr VSSC is located.
Where is the headquarters of DRDO?,The headquarters of DRDO is located in New Delhi.
The INCOSPAR was found in Which year?,The INCOSPAR was founded in 1962.
the current chairman of ISRO is?,Scientist Sivan K is the Chairman of ISRO ISRO.
TERLS located in Which state?,Kerala.
What is the full form of IRNSS?,IRNSS.
What is AI ?,AI is the branch of engineering and science devoted to constructing machines that thinkAI is the field of science Which concerns itself with building hardware and software that replicates the functions of the HU mind.
What are the laws of thermodynamics?,I am not a physicist but I think this has something to do with heat entropy and conservation of energy right.
What disease does a carcinogen cause?,Cancer is a disease caused by carcinogen.
What is a wavelength?,wavelength is defined as the inverse of frequency.
What is thermodynamics?,the branch of physics dealing with the transformation of heat to and from other forms of energy and with the laws governing such conversions of energy.
What is chemistry?,chemistry means the science of mixing chemicals
What is crystallography?,Crystallography is defined as the science dealing with the study of crystals.
What is Avogadro's number?,Avogadro's number is defined as the number of molecules per mole and the numerical value is six point zero two times ten to the twenty third power.
What is ultrasound?,ultrasonic waves are used in medical diagnosis and therapy in surgery etc.
What is bioinformatics?,Bioinformatics is defined as a fancy name for applied computer science in biology.
What is venus?,Venus is the brightest sixth largest planet in the solar system and the second in distance from the sun with a dense atmosphere of carbon dioxide and a very high surface temperature and in roman mythology the goddess of love and beauty identified with the greek aphrodite.
What is ichthyology?,We talk about this when we study fish.
What is h20?,"h20 means water, water is composed of hydrogen and water molecules."
What is cytology?,"Cytology is defined as the study of cells,well from What i can recall it is the study of cells."
What is wavelength?,GENERALLY wavelength is defined as the distance measured in the direction of progression of a wave from any given point to the next point characterized by the same phase or it could be looked at as a way of thinking.
What is bacteriology?,This is defined as the scientific study of bacteria and diseases caused by them.
What is gravitation?,Gravitation is defined as the force by Which every mass or particle of matter including photons attracts and is attracted by every other mass or particle of matter.
How far is the sun from the earth?,"On Average, the sun is about 93 million miles apart from earth."
How far is the moon from the earth?,"The moon is about 250000 miles apart from earth on average,the moon is about 250000 miles apart from earth on average."
Which star is at the center of our Solar System?,The Sun is at the center of our Solar System.
What is the diameter of the Sun?,1392684 km or 865374 mi is the diameter of the sun.
What percent of the solar system's mass does the Sun hold?,99.8 percent is percent of the solar system's mass holds the sun.
How many stars are in the Milky Way?,the stars in the milky way are more than 100 billion.
When was Sun born?,The sun was born roughly 46 billion years ago.
What is the distance between the sun and earth?,92960000 miles 149600000 km is the distance between sun and earth.
How much time does sun rays take to reach earth?,8 minutes is the time taken by sun rays to reach earth.
Which planet is nearest to the earth?,MERCURY is the planet nearest to the earth.
Which planet is known as the Morning Star or the Evening Star?,Venus is known as the Morning Star or the Evening Star.
What is the diameter of MERCURY?,3032 miles and 4879 km is the diameter of MERCURY.
What is the diameter of EARTH?,7918 miles and 12742 km is the diameter of EARTH.
What is the diameter of MARS?,4212 miles and 6779 km is the diameter of MARS.
What is the diameter of JUPITER?,86881 miles and 139822 km is the diameter of JUPITER.
What is the diameter of SATURN?,120536 kilometers is the diameter of SATURN.
What is the diameter of URANUS?,31518 miles or 50724 km is the diameter of URANUS.
What is the diameter of NEPTUNE?,30599 miles or 49244 km is the diameter of NEPTUNE.
What is the diameter of PLUTO?,2360 kilometers is the diameter of PLUTO.
Which is the largest planet in our solar system?,JUPITER is the largest planet in our solar system.
Which Planet Has the Most Moons?,The planet with the most number of moons is Jupiter with 66 moons.
Which planet is closest to the sun?,The MERCURY planet is closest to the sun.
Which Is the Hottest Planet in the Solar system?,Venus is the Hottest Planet in the solar system.
Which Planets Have Rings around Them?,"Saturn, Jupiter, Uranus and Neptune are planets that have rings around them."
Which is the coldest and smallest of all planets?,Pluto is the coldest and smallest of all planets.
Which Star is called Earth's satellite?,Moon is called Earth's satellite.
What is the Average distance of the Moon from Earth?,238855 miles or 384400 km is the Average distance of the Moon from Earth.
What is the age of the Moon?,4527 billion years is the age of the Moon.
What is the Orbital period of the Moon?,27 days is the Orbital period of the Moon.
What is the Circumference of the Moon?,6784 miles and 10917 km is the Circumference of the Moon.
Which planet has the most volcanoes?,Venus planet has the most volcanoes.
Which planets do not have moons?,The MERCURY and Venus planets do not have moons.
How much larger the Sun is than Earth?,The sun is 300000 times larger than the earth.
When will Halley's Comet be visible from Earth again?,2061 is the year in Which Halley's Comet will be visible from Earth again.
What is the surface temperature of Venus?,over 450 degrees Celsius is the surface temperature of Venus.
When was the Solar System formed?,The solar system was formed around 46 billion years ago.
Which Planet spins backwards relative to the others?,The Venus planet spins backwards relative to the others.
When was the first manmade object sent into space?,the first manmade object sent into space 1957.
Name Jupiter's 4 biggest moons?,"Europa, Ganymede Callisto and Io are the biggest moons of jupiter."
Why do we have high and low tides?,Because of the Sun and Moon's gravity so we have high and low tides.
Where is The edge of space located?,Edge of space located 100 km 62 mi above sea level.
What is an astronaut employed by the Russian Federal Space Agency called?,Kosmonavt is an astronaut employed by the Russian Federal Space Agency.
Who was the first woman to reach space?,The first woman to reach space was Valentina Tereshkova in 1963.
Name five recognized dwarf planets?,"Pluto Ceres, Eris Makemake and Haumea were five recognized dwarf planets."
Who was the first person to set foot on the Moon?,Neil Armstrong was the first person to set foot on the Moon.
What is the average surface temperature of the Moon?,107 degrees Celsius during the day and 153 degrees Celsius at night is the average surface temperature of the Moon.
When does a lunar eclipse occur?,When the Earth is between the Sun and the Moon then lunar eclipse occurs.
At how much speed the Moon moves across the Sun?,2250 km per hour is the speed where the Moon moves across the Sun.
How long can a solar eclipse last?,A solar eclipse can last seven and a half minutes long.
What is the Equatorial Circumference of Earth?,40030 km is the Equatorial Circumference of Earth.
What is Earth's surface temperature?,88 to 58 degrees celsius is the Earth's surface temperature.
When was the Earth formed?,The Earth was formed approximately 454 billion years ago.
How many natural satellites of Earth are there?,"one, Moon is the natural satellite of the earth."
What are the notable satellites of Mars?,Phobos and Deimos are the notable satellites of Mars.
Which planet has approximately the same landmass as Earth?,Mars planet has approximately the same landmass as Earth.
What are the notable satellites of Pluto?,"Charon Nix, Hydra Kerberos and Styx are the notable satellites of Pluto."
When was Pluto reclassified from a planet to a dwarf planet?,Pluto was reclassified from a planet to a dwarf planet in 2006.
How many stars are there in the Andromeda Galaxy?,1 trillion stars are there in the Andromeda Galaxy.
At Which speed the Andromeda Galaxy is approaching the Milky Way?,The speed of the Andromeda Galaxy is approximately hundred to hundred and forty kilometers per second approaching the Milky way.
In the late 1980s VSSC was instrumental in the development of Which satellite vehicle?,"In the early 1980s, VSSC was instrumental in the development of India's SLV program SLV3."
What is the name of the spacecraft that will be used for the first manned mission?,The name of the spacecraft is GSLV MK III and is intended for India's first manned space mission.
What is the name of the first sounding rocket?,"Over the years VSSC has designed, developed and since 1965 started launching a family of sounding rockets under the generic name RSR to serve a range of scientific missions."
What was the first sounding rocket launched from TERLS?,21 November 1963 marked India's first venture into space with the launch of a two stage Nike Apache sounding rocket from TERLS.
What is the role of the Institute of Remote Sensing?,The reorganisation of the IIRS as an independent unit of ISRO IIRS Dehradun has been the premier institute responsible for capacity building in the field of Remote Sensing and GIS applications .
Which institute is responsible for capacity building in the field of remote sensing?,IIRS.
What is the main focus of the VSSC?,VSSC pursues RD in the fields of aeronautics avionics composites computer and IT control guidance and simulation launch vehicle design mechanical engineering mechanisms vehicle integration and testing propellants polymers and materials propulsion propellants and space ordnance and systems reliability.
What satellites are currently controlled by the MCF?,"Satellites Currently MCF controls the following 19 satellites :INSAT 3C, KALPANA1, INSAT3, INSAT4, INSAT4B, INSAT4CR, GSAT8, GSAT12, GSAT10, IRNSS1, INSAT3D, GSAT7, GSAT14, IRNSS1B, IRNSS 1C, GSAT16, IRNSS 1D, GSAT6 and GSAT15 satellites."
What is the role of the Indian Space Agency?,The Indian space program under the DoS aims to promote the development and application of space science and technology for the socioeconomic benefit of the country.It manages several agencies and institutes related to space exploration and space technologies.
Under What structure is URSC organised?,the Matrix Management Structure.
Where did the first sounding rockets come from?,The first rockets launched were built in the US.
How many satellites did it launch from India between 2013 and 2015?,"Between 2013 and 2015, India launched 28 foreign satellites for 13 different countries earning total revenue of US$101 million."
What is the purpose of the third launch pad?,The third launchpad will be used for India's future HU space missions.
What is the main focus of VSSC?,"VSSC also has programs focused on applications of space technology including village resource centres telemedicine tele education disaster management support and outreach through DTH TV broadcast ,VSSC pursues RD in the fields of aeronautics avionics composites computer and IT control guidance and simulation launch vehicle design mechanical engineering mechanisms vehicle integration and testing propellants polymers and materials propulsion propellants and space ordnance and systems reliability."
When was the first sounding rocket launched?,The Indian designed and built the first rocket RH75 made its maiden flight on 20 November 1967.
In What year was the RH75 flown?,1967
What are the main facilities of the SDSC?,"The mobile service tower launchpad preparation facilities for different launch stages, spacecraft storage transfer and servicing facilities for liquid propellants etc."
What year was Sriharikota chosen for a satellite launch station?,1969
What is the most important organisation with Which IIT has had significant collaborations?,United Nations Education Scientific Cooperation Organisation.
What is the role of the Antrixcompany in the space industry?,Antrix Corporation Limited is a government owned company under the administrative control of the DS.
What is the focus of VSSC?,The current focus of VSSC is on the GSLV the GSLV Mk III and the RLV Technology Demonstrator RLVTD.
What is the ISROs telecommunications network?,TM Tracking Command Network.
Where did India use it to launch sounding rockets?,TERLS.
What month has ISRO launched 209 satellites?,01-01-2018.
When was the first launch pad used?,The First Launch Pad began operation in 1993.
What is the name of the crewed orbital spacecraft that will be used for the first time?,In 2018 it was reported that the launch of India's first crewed orbital spacecraft Gaganyaan is scheduled to be launched from the third launch pad before 2022.
What is the role of the DS?,The DS DoS is an Indian government department responsible for the administration of the Indian space program .Space Commission formulates the policies and oversees the implementation of the Indian space programme to promote the development and application of space science and technology for the socioeconomic benefit of the country.
Who was the first Indian to establish a national space agency?,In 1961 the Government of India and Prime Minister Jawaharlal Nehru entrusted the responsibility for space research and the peaceful use of outer space to the DAE then under the leadership of Dr Homi J.
What is the mission of the INSAT MCF?,"The INSAT MCF is one of the centres of the ISRO Which is responsible for post launch operations on INSAT GSAT and IRNSS satellites including orbit manoeuvres, stationkeeping onorbit and decommissioning operations."
What is the main purpose of the SDSC?,SDSC has the infrastructure for launching satellites into low Earth orbit polar orbit and GTO .SDSC also has a Sband Doppler weather radar that contributes to India Meteorological Department radar network and serves as a standin for Doppler weather radar in Chennai.
What was the first Indian SLV?,SLV3.
What is the type of organization of the VSSC?,VSSC has a matrix organization based on Projects and Entities.
What countries were involved in the TERLS facility?,USSR.
What is the main focus of the LPSC?,The main activities carried out at Valiamala include RD in earth storable and cryogenic propulsion systems for Launch Vehicle and Spacecraft applications System design and architecture Management of system projects Management of earth storable and cryogenic engine and stage systems LPSC Bangalore. This unit caters predominantly to propulsion requirements of satellite programmes of ISRO apart from the development of indigenous sensors and transducers.
What is the name of the satellite control centre located in hyderabad?,NRSC located in Hyderabad Telangana is one of the centres of the ISRO ISRO.
What sounding rocket has flown from TERLS?,The sounding rockets have flown from TERLS were Arcas1 Arcas11 Centaure1 11 and 11B Dragon1 Dual Hawk Judy Dart Menaka1 Menaka1Mk 1 and Mk11 Nike Tomahawk M100 Petrel RH100 RH125 RH200 S RH300 variants of RH560 etc.
Where is the INSAT MCF located?,INSAT MCF of ISRO is located at two locations Hassan in the South Indian state of Karnataka and at Bhopal in Madhya Pradesh.
Where is the first manned launch facility in India?,Thiruvananthapuram.
What is the role of the DAE?,"In 1962, the DAE set up the INCOSPAR with Dr Vikram Sarabhai as chairman to organise a national space programme."
When was the IIRS established?,the year 1966.
What is the weather radar in india?,India Meteorological Department.
What is the mission of the ISTRAC?,The mission of the ISTRAC includes Tracking commanding and housekeeping data acquisition as well as health analysis and control orbit and attitude determination and network coordination support to all low Earth orbit satellite missions of ISRO throughout their mission life.
What is the NRSAs main programme?,the Earth Observation Programme.
What are the main objectives of the VSSC?,"The quality objectives of the Centre are planning, implementing and maintaining a quality system during design development production and operation of subsystems and systems for launch vehicles."
What was the name of the TERLS and associated space establishments at thiruvananthapuram?,the VSSC.
What is the role of the LPSC?,"The LPSC has developed an indigenous cryogenic upper stage for GSLV Which was successfully test fired by ISRO on 4 August 2007 ,Development of fluid control valves transducers propellant management devices for vacuum conditions and other key components of liquid and cryogenic propulsion systems are also under the purview of LPSC."
What is the main focus of the Management systems area?,Management systems area provides for programme planning and evaluation HU resource development budget and manpower technology transfer documentation and outreach activities.
When was the ISSP established?,the year of 1972.
What year was India's first venture into space?,11-01-1963.
When did the SLV3 LaunchPad begin?,The SLV3 Launch Pad began operation in 1979 and was decommissioned in 1994.
What is the mission of the ISRO in ground stations?,The ISRO over the years has established a comprehensive global network of ground stations to provide TM Tracking and Command TTC support to satellite and launch vehicle missions.
What is SHAR?,SHAR is ISROs satellite launching base and additionally provides launch facilities for the full range of Rohini sounding rockets.
When did the first ASLV launch take place?,1987
When was the ISRO satellite monitoring facility established?,1982
Where is TeLEOS1 launched?,Singapore.
Where is SST Limited?,UK.
What year will the SHAR launch pad begin?,2005
What was the most popular rocket to have flown from TERLS?,Dragon1.
What are the main areas of RD at VSSC?,Launch Vehicles and Air Breathing Propulsion.
What is the most popular rocket in the world?,Nike Tomahawk.
How many RH75 flights were made in 1968?,15
How many SLV launches were successful?,four.
When did VSSC start launching sounding rockets?,1965
When is the first crewed spacecraft to be launched?,2022
When did the ASLV first appear?,the late 1980s.
When was the first successful launch of the PSLV?,The PSLV launch complex was commissioned in 1990.
